,title,link,by-line
59,Rohit Sharma-led Team India leaves Canberra to face Australia in second Test at Adelaide,https://www.thehindu.com/sport/cricket/india-vs-australia-adelaide-second-test-rohit-sharma-canberra-warm-up-match/article68937436.ece,The Hindu Bureau
60,Former Australia cricketer Ian Redpath dies at 83,https://www.thehindu.com/sport/cricket/former-australia-cricketer-ian-redpath-dies-at-83/article68936220.ece,ANI
61,Spinners propel Pakistan to emphatic 57-run win over Zimbabwe in 1st T20,https://www.thehindu.com/sport/cricket/spinners-propel-pakistan-to-emphatic-57-run-win-over-zimbabwe-in-1st-t20/article68936099.ece,AP
62,India vs Australia: Mohammed Siraj rediscovers joy of bowling,https://www.thehindu.com/sport/cricket/indian-fast-bowler-mohammed-siraj-press-conference-on-december-1-2024/article68934850.ece,K C Vijaya Kumar
63,CRICKET | Mumbai coasts to a seven-wicket win over a hapless Nagaland,https://www.thehindu.com/sport/cricket/cricket-mumbai-coasts-to-a-seven-wicket-win-over-a-hapless-nagaland/article68934781.ece,V.V. SUBRAHMANYAM
64,"India vs Australia Prime Minister XI: Gill, Nitish shine as India registers easy win",https://www.thehindu.com/sport/cricket/india-vs-australian-pm-xi-at-manuka-oval-in-canberra-on-december-1/article68934609.ece,K C Vijaya Kumar
65,Syed Mushtaq Ali Trophy: Koushik stars in Karnataka’s rout of Tamil Nadu,https://www.thehindu.com/sport/cricket/syed-mushtaq-ali-trophy-twenty20-tournament-on-december-1-2024/article68934320.ece,Vivek  Krishnan
66,Jay Shah assumes charge as ICC chairperson,https://www.thehindu.com/sport/cricket/jay-shah-takes-over-as-new-icc-chairman/article68934324.ece,Amol Karhadkar
67,U-19 Asia Cup: Suryavanshi disappoints as India lose to Pakistan by 43 runs,https://www.thehindu.com/sport/cricket/u-19-asia-cup-suryavanshi-disappoints-as-india-lose-to-pakistan-by-43-runs/article68932912.ece,PTI
68,India vs PM’s XI match: Rain plays spoilsport on day one,https://www.thehindu.com/sport/cricket/india-vs-pms-xi-match-rain-plays-spoilsport-on-day-one/article68931443.ece,K C Vijaya Kumar
69,"Pakistan blinks, PCB source says will accept hybrid model if same policy followed for ICC events in India",https://www.thehindu.com/sport/cricket/pakistan-blinks-pcb-source-says-will-accept-hybrid-model-if-same-policy-followed-for-icc-events-in-india/article68931338.ece,PTI
70,IPL 2025 mega auction: Vijay Shankar relishes return to Chennai Super Kings after a decade,https://www.thehindu.com/sport/cricket/tamil-nadu-all-rounder-vijay-shankar-excited-to-chennai-super-kings/article68930907.ece,Vivek  Krishnan
71,India vs Australia PM XI: First day’s play washed out; 50-over game on December 1,https://www.thehindu.com/sport/cricket/india-vs-australia-pm-xi-first-day-play-washed-out/article68930840.ece,K C Vijaya Kumar
72,IND vs AUS | Scott Boland likely to replace Josh Hazlewood for Adelaide Test,https://www.thehindu.com/sport/cricket/ind-vs-aus-scott-boland-likely-to-replace-josh-hazlewood-for-adelaide-test/article68930384.ece,K C Vijaya Kumar
73,Australia’s Josh Hazlewood ruled out of second Test against India,https://www.thehindu.com/sport/cricket/border-gavaskar-trophy-australias-josh-hazlewood-ruled-out-of-second-test-against-india/article68929998.ece,The Hindu Bureau
74,Syed Mushtaq Ali Trophy: MP has one foot in knockouts after thrilling win over Bengal,https://www.thehindu.com/sport/cricket/syed-mushtaq-ali-trophy-mp-has-one-foot-in-knockouts-after-thrilling-win-over-bengal/article68928991.ece,Sahil  Mathur
75,Whole new ball game: how Australia has embraced and dominated the sub-genre of Test cricket under lights,https://www.thehindu.com/sport/cricket/whole-new-ball-game-how-australia-has-embraced-and-dominated-the-sub-genre-of-test-cricket-under-lights/article68928904.ece,Vivek  Krishnan
76,"Champions Trophy: PCB sticks to ‘No Hybrid Model’ stance, meeting adjourned till November 30",https://www.thehindu.com/sport/cricket/champions-trophy-pcb-sticks-to-no-hybrid-model-stance-meeting-adjourned-till-november-30/article68928276.ece,PTI
77,Gujarat’s bowlers rise to the occasion in victory over Tamil Nadu,https://www.thehindu.com/sport/cricket/gujarats-bowlers-rise-to-the-occasion-in-victory-over-tamil-nadu/article68927672.ece,Vivek  Krishnan
78,"Boder-Gavaskar trophy: Return of top two players builds a lot of confidence, says Abhishek Nayar",https://www.thehindu.com/sport/cricket/india-vs-australia-test-series-assistant-coach-abhishek-nayar-press-conference/article68926577.ece,K C Vijaya Kumar
79,India vs Australia PM XI: Manuka Oval gears up as India looks to make most of pink ball warm-up,https://www.thehindu.com/sport/cricket/india-vs-australia-pm-xi-in-manuka-oval-on-november-30-2024/article68926542.ece,K C Vijaya Kumar
80,Shubman Gill returns to nets after recovering from thumb injury,https://www.thehindu.com/sport/cricket/shubman-gill-returns-to-nets-after-recovering-from-thumb-injury/article68926314.ece,PTI
81,"K.L. should continue to open with Jaiswal, Rohit can come in at third: Pujara",https://www.thehindu.com/sport/cricket/kl-should-continue-to-open-with-jaiswal-rohit-can-come-in-at-3-pujara/article68926103.ece,PTI
82,Australia let Kohli roll on to a hundred in Perth: Allan Border,https://www.thehindu.com/sport/cricket/australia-let-kohli-roll-on-to-a-hundred-in-perth-allan-border/article68926029.ece,PTI
83,Eng vs NZ 1st Test: Harry Brook’s 132 turns the tide for England on Day 2,https://www.thehindu.com/sport/cricket/england-vs-new-zealand-1st-test-day-2-christchurch-report/article68925867.ece,AP
84,Sri Lanka bowled out for its lowest score in Test history as South Africa leads Durban Test by 281 runs,https://www.thehindu.com/sport/cricket/sri-lanka-vs-south-africa-first-test-day-two-durban/article68925772.ece,AP
85,Syed Mushtaq Ali Trophy: Hardik’s individual brilliance key to Baroda’s perfect start,https://www.thehindu.com/sport/cricket/hardiks-individual-brilliance-key-to-barodas-perfect-start-in-smat/article68922623.ece,Vivek  Krishnan
